Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-01
Dry Maize,-,-,-,Wath Ong'er,13.33/Kg, - ,,Migori,2005-02-01
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-01
Dry Maize,-,-,-,Nakuru Wakulima ,20.00/Kg, - ,,Nakuru,2005-02-01
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-01
Dry Maize,-,-,-,Taveta,15.56/Kg, - ,,Taita-Taveta,2005-02-02
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-02
Dry Maize,-,-,-,Bondo,16.00/Kg, - ,,Siaya,2005-02-02
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-02
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-03
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-03
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-03
Dry Maize,-,-,-,Bondo,16.00/Kg, - ,,Siaya,2005-02-03
Dry Maize,-,-,-,Bondo,16.00/Kg, - ,,Siaya,2005-02-04
Dry Maize,-,-,-,Taveta,15.56/Kg, - ,,Taita-Taveta,2005-02-04
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-04
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-04
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-04
Dry Maize,-,-,-,Bondo,16.00/Kg, - ,,Siaya,2005-02-07
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-07
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-07
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-07
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-08
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-08
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-08
Dry Maize,-,-,-,Wath Ong'er,13.33/Kg, - ,,Migori,2005-02-08
Dry Maize,-,-,-,Nairobi Wakulima,17.22/Kg, - ,,Nairobi,2005-02-08
Dry Maize,-,-,-,Nairobi Wakulima,17.22/Kg, - ,,Nairobi,2005-02-09
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-09
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-09
Dry Maize,-,-,-,Bondo,13.33/Kg, - ,,Siaya,2005-02-09
Dry Maize,-,-,-,Taveta,15.00/Kg, - ,,Taita-Taveta,2005-02-09
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-10
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-10
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-10
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-10
Dry Maize,-,-,-,Gakoromone,18.89/Kg, - ,,Meru,2005-02-11
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-11
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-11
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-11
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-11
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-14
Dry Maize,-,-,-,Eldoret Main,13.33/Kg, - ,,Uasin-Gishu,2005-02-14
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-14
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-14
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-14
Dry Maize,-,-,-,Wath Ong'er,13.33/Kg, - ,,Migori,2005-02-15
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-15
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-15
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-15
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-15
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-15
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-16
Dry Maize,-,-,-,Kongowea,15.56/Kg, - ,,Mombasa,2005-02-16
Dry Maize,-,-,-,Taveta,12.00/Kg, - ,,Taita-Taveta,2005-02-16
Dry Maize,-,-,-,Bondo,13.33/Kg, - ,,Siaya,2005-02-16
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-16
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-02-17
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-17
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-17
Dry Maize,-,-,-,Kongowea,15.00/Kg, - ,,Mombasa,2005-02-17
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-17
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-02-21
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-21
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-21
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-21
Dry Maize,-,-,-,Kongowea,17.22/Kg, - ,,Mombasa,2005-02-21
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-22
Dry Maize,-,-,-,Wath Ong'er,13.33/Kg, - ,,Migori,2005-02-22
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-22
Dry Maize,-,-,-,Kongowea,15.00/Kg, - ,,Mombasa,2005-02-22
Dry Maize,-,-,-,Bondo,13.33/Kg, - ,,Siaya,2005-02-22
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-02-22
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-22
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-02-22
Dry Maize,-,-,-,Eldoret Main,13.78/Kg, - ,,Uasin-Gishu,2005-02-23
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-02-23
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-23
Dry Maize,-,-,-,Nairobi Wakulima,17.56/Kg, - ,,Nairobi,2005-02-23
Dry Maize,-,-,-,Taveta,12.00/Kg, - ,,Taita-Taveta,2005-02-23
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-23
Dry Maize,-,-,-,Kongowea,16.67/Kg, - ,,Mombasa,2005-02-23
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-02-24
Dry Maize,-,-,-,Nakuru Wakulima ,16.67/Kg, - ,,Nakuru,2005-02-24
Dry Maize,-,-,-,Kongowea,15.00/Kg, - ,,Mombasa,2005-02-24
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-02-24
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-02-24
Dry Maize,-,-,-,Nairobi Wakulima,17.56/Kg, - ,,Nairobi,2005-02-24
Dry Maize,-,-,-,Nairobi Wakulima,17.78/Kg, - ,,Nairobi,2005-03-01
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-03-01
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-03-01
Dry Maize,-,-,-,Karatina,15.56/Kg, - ,,Nyeri,2005-03-01
Dry Maize,-,-,-,Eldoret Main,13.33/Kg, - ,,Uasin-Gishu,2005-03-01
Dry Maize,-,-,-,Nakuru Wakulima ,16.11/Kg, - ,,Nakuru,2005-03-01
Dry Maize,-,-,-,Kongowea,16.67/Kg, - ,,Mombasa,2005-03-01
Dry Maize,-,-,-,Chwele,15.56/Kg, - ,,Bungoma,2005-03-02
Dry Maize,-,-,-,Nakuru Wakulima ,15.78/Kg, - ,,Nakuru,2005-03-02
Dry Maize,-,-,-,Kongowea,14.44/Kg, - ,,Mombasa,2005-03-02
Dry Maize,-,-,-,Eldoret Main,13.78/Kg, - ,,Uasin-Gishu,2005-03-02
Dry Maize,-,-,-,Kibuye,16.89/Kg, - ,,Kisumu,2005-03-02
Dry Maize,-,-,-,Bondo,13.33/Kg, - ,,Siaya,2005-03-02
